category,configuration_variable,config_key,type,symbol,description,units,current_declaration_default,default_expression,formal_model_comparator,range,provenance_source,provenance_category,implementation_status,notes,source_file,source_line,reference_count
A11. Parasitism,cfg_OsmiaPerCapitaParasationChance,OSMIA_PERCAPITAPARASITATIONCHANCE,CfgArray_Double,—,Array of parameters for per capita parasitoid probability for each type of parasitoid in the order based on TTypeOfOsmiaParasitoids,probability per parasitoid present per cell,0.00001 0.00002,"vector<double> { 0.00001, 0.00002 }",=,—,Not documented in the source,Undocumented,Conditional,—,Osmia_Population_Manager.cpp,148,1
A11. Parasitism,cfg_UsingMechanisticParasitoids,OSMIA_USEMECHANISTICPARASITOIDS,CfgBool,—,Switch between mechanistic (`true`) and exposure-time (`false`) parasitism,boolean,false,false,=,—,Not documented in the source,Undocumented,Conditional,"The mechanistic path has no parasitoid births, reads density from an uninitialised array element, never sets the monthly mortality index and does not conserve numbers during dispersal. The exposure-time formulation is the supported option.",Osmia_Population_Manager.cpp,142,3
A12. Use of resources,cfg_OsmiaDensityDependentPollenRemovalConst,OSMIADENSITYDENPENDENTPOLLENREMOVALCONST,CfgFloat,ρ<sub>comp</sub>,Proportion of pollen available to *Osmia* after use by other pollinators; 1 means no competition,proportion available (0–1),0.5,0.5,=,—,No empirical source stated,Assumed,No effect,"The source comment says “no competition assumed as default”, but 0.5 would make half the pollen unavailable. Neither interpretation affects the current model because the statement applying the scaler in `Osmia_Female::st_ReproductiveBehaviour` is commented out. The comment, value and intended mechanism need to be reconciled. Changing this setting has no effect on current model behaviour.",Osmia_Population_Manager.cpp,156,2
A12. Use of resources,cfg_OsmiaNectarThresholds,OSMIA_NECTAR_THRESHOLDS,CfgArray_Double,—,Monthly nectar thresholds: 12 quantity values followed by 12 quality values,entries 0–11 quantity in mJ m<sup>−2</sup>; entries 12–23 sugar concentration in mg l<sup>−1</sup>,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0,"vector<double> { 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0 }",=,—,No empirical source stated,Assumed,No effect,"Stored but never consulted by the active foraging code, so changing these values has no effect.",Osmia_Population_Manager.cpp,58,3
A12. Use of resources,cfg_OsmiaNestByLE_Datafile,OSMIA_NESTBYLEDATAFILE,CfgStr,—,Input file for Osmia nest density per landscape element type (TOLE),nest sites per m2 (before the 0.001 scaler applied in Osmia_Nest_Manager::InitOsmiaBeeNesting),OsmiaNestsByHabitat.txt,"""OsmiaNestsByHabitat.txt""",=,—,"Literature based, see Ziółkowska et al. (2023)",Literature,Active,"Source annotation: high sensitivity; not systematically tested. A hard-coded 0.001 scaler, annotated in the implementation as a debug measure, is applied to every density read from this file. Confirm before quoting file values as model parameters.",Osmia_Population_Manager.cpp,112,3
A12. Use of resources,cfg_OsmiaPollenThresholds,OSMIA_POLLEN_THRESHOLDS,CfgArray_Double,—,Monthly pollen thresholds: 12 quantity values followed by 12 quality values,"entries 0–11 quantity in mg m<sup>−2</sup>; entries 12–23 quality, dimensionless",1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0,"vector<double> { 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0 }",=,—,No empirical source stated,Assumed,No effect,"Read into `Osmia_Population_Manager::m_PN_thresholds` at start-up but never consulted by the active foraging code, so changing these values has no effect.",Osmia_Population_Manager.cpp,52,3
A13. Pesticide exposure and effects,cfg_OsmiaEggThresholdBasedPesticideResponse,OSMIA_EGG_THRESHOLD_BASED_PESTICIDE_RESPONSE,CfgBool,—,The flag to use threshold based pesticide response for eggs,— (switch),false,false,=,—,Not documented in the source,Undocumented,Conditional,—,Osmia.cpp,186,1
A13. Pesticide exposure and effects,cfg_OsmiaFemaleBcackgroundPeticideResponse,OSMIA_FEMALE_BACKGROUND_PESTICIDE_RESPONSE,CfgBool,—,Switch controlling the background pesticide-response formulation for females,— (switch),true,true,=,—,Not documented in the source,Undocumented,Conditional,The spelling of the C++ variable is reproduced exactly.,Osmia.cpp,188,2
A13. Pesticide exposure and effects,cfg_OsmiaFemaleDamageBasedPesticideResponse,OSMIA_FEMALE_DAMAGE_BASED_PESTICIDE_RESPONSE,CfgBool,—,The flag to use damage based pesticide response for females,— (switch),false,false,=,—,Not documented in the source,Undocumented,Conditional,—,Osmia.cpp,184,1
A13. Pesticide exposure and effects,cfg_OsmiaFemaleThresholdBasedPesticideResponse,OSMIA_FEMALE_THRESHOLD_BASED_PESTICIDE_RESPONSE,CfgBool,—,The flag to use threshold based pesticide response for females,— (switch),false,false,=,—,Not documented in the source,Undocumented,Conditional,—,Osmia.cpp,182,1
A13. Pesticide exposure and effects,cfg_OsmiaInsecticideApplicationMortality,OSMIA_INSECTICIDE_APPLICATION_MORTALITY,CfgFloat,—,Probability that an adult female present at an insecticide application dies. -,probability per application event (0-1),0.8,0.8,=,—,"A blanket assumption, not substance specific.",Assumed,Conditional,—,Osmia.cpp,136,2
A13. Pesticide exposure and effects,cfg_OsmiaPesticideAbsorptionRateContact,OSMIA_PPP_ABSORPTION_RATE_Contact,CfgFloat,—,Proportion of contact residue transferred from the body surface into the body per day,proportion per day (0–1),0.1,0.1,=,—,Not documented in the source,Technical,Conditional,The declaration default is authoritative for this MIDox baseline.,Osmia_Population_Manager.cpp,178,1
A13. Pesticide exposure and effects,cfg_OsmiaPesticideAbsorptionRateOverspray,OSMIA_PPP_ABSORPTION_RATE_Overspray,CfgFloat,—,Proportion of overspray residue transferred from the body surface into the body per day,proportion per day (0–1),0.1,0.1,=,—,Not documented in the source,Technical,Conditional,The declaration default is authoritative for this MIDox baseline.,Osmia_Population_Manager.cpp,180,1
A13. Pesticide exposure and effects,cfg_OsmiaPesticideContactBodySurface,OSMIA_PPP_CONTACT_BODY_SURFACE,CfgFloat,—,Body-surface area used for contact exposure,m<sup>2</sup>,0.0,0.0,=,—,Not documented in the source,Technical,Conditional,—,Osmia_Population_Manager.cpp,184,1
A13. Pesticide exposure and effects,cfg_OsmiaPesticideDecayRate,OSMIA_PPP_DECAY_RATE,CfgFloat,—,Proportion of pesticide body burden eliminated per day,proportion per day (0–1),0.0,0.0,=,—,Not documented in the source,Technical,Conditional,—,Osmia_Population_Manager.cpp,174,1
A13. Pesticide exposure and effects,cfg_OsmiaEggPesticideProbability,OSMIA_PPP_EGG_PROB,CfgFloat,—,Probability of egg mortality when the pesticide body-burden threshold is exceeded,probability per test (0–1),0.0,0.0,=,—,Not documented in the source,Technical,Conditional,—,Osmia_Population_Manager.cpp,166,1
A13. Pesticide exposure and effects,cfg_OsmiaEggPesticideThreshold,OSMIA_PPP_EGG_THRESHOLD,CfgFloat,—,The pesticide threshold causing egg death,"g active substance, summed over products",10000.0,10000.0,=,—,Not documented in the source,Technical,Conditional,—,Osmia_Population_Manager.cpp,168,1
A13. Pesticide exposure and effects,cfg_OsmiaPesticideKillRate,OSMIA_PPP_KILL_RATE,CfgFloat,—,Pesticide killing-rate parameter,Not established; unused TKTD parameter,0.0,0.0,=,—,Not documented in the source,Technical,No effect,"Not read by the *Osmia* module, so changing it has no effect.",Osmia_Population_Manager.cpp,170,0
A13. Pesticide exposure and effects,cfg_OsmiaPesticideOversprayBodySurface,OSMIA_PPP_OVERSPRAY_BODY_SURFACE,CfgFloat,—,Body-surface area used for overspray exposure,m<sup>2</sup>,0.0,0.0,=,—,Not documented in the source,Technical,Conditional,—,Osmia_Population_Manager.cpp,182,1
A13. Pesticide exposure and effects,cfg_OsmiaPesticideOversprayChance,OSMIA_PPP_OVERSPRAY_CHANCE,CfgFloat,—,Probability of overspray while a female forages in a field being sprayed,probability per spray event (0–1),0.5,0.5,=,—,Not documented in the source,Technical,Conditional,—,Osmia_Population_Manager.cpp,176,1
A13. Pesticide exposure and effects,cfg_OsmiaPesticideProbability,OSMIA_PPP_PROB,CfgFloat,—,The probability of death per day if the pesticide body burden threshold is exceeded,probability per female per day (0-1),0.0,0.0,=,—,Not documented in the source,Technical,Conditional,—,Osmia_Population_Manager.cpp,162,1
A13. Pesticide exposure and effects,cfg_OsmiaPesticideRecoveryRate,OSMIA_PPP_RECOVERY_RATE,CfgFloat,—,Pesticide recovery-rate parameter,Not established; unused TKTD parameter,0.0,0.0,=,—,Not documented in the source,Technical,No effect,"Not read by the *Osmia* module, so changing it has no effect.",Osmia_Population_Manager.cpp,172,0
A13. Pesticide exposure and effects,cfg_OsmiaPesticideThreshold,OSMIA_PPP_THRESHOLD,CfgFloat,—,Pesticide body-burden threshold for pesticide effects,g active substance,10000.0,10000.0,=,—,Not documented in the source,Technical,Conditional,—,Osmia_Population_Manager.cpp,164,1
A14. Technical and output,cfg_OsmiaPopulationDynamicsFile,OSMIA_POPULATION_DYNAMICS_FILE,CfgStr,—,File name for daily recruitment and mortality output,— (file name),OsmiaPopulationDynamics.txt,"""OsmiaPopulationDynamics.txt""",=,—,Not documented in the source,Technical,Active,—,Osmia_Population_Manager.cpp,196,1
A14. Technical and output,cfg_OsmiaStorePopulationDynamics,OSMIA_STORE_POPULATION_DYNAMICS,CfgBool,—,Switch controlling daily recruitment and mortality output,— (switch),false,false,=,—,Not documented in the source,Technical,Active,—,Osmia_Population_Manager.cpp,194,17
